"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Anti Pattern","Bad Practice Rules","Best Practice Rules","Code Style Rules","Correctness Rules","Design Rules","Design Pattern","Documentation Rules","Dodgy Code Rules","Error Prone Rules","Experimental Rules","Internationalization Rules","Multithreaded Correctness Rules","Multithreading Rules","Optimization Rules","Performance Rules","Security Code Guideline Rules","Security Rules","Vulnerability Rules"
"L126","NAMESPACES_FEATURE_ID","dom.Counter.NAMESPACES_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","60","5","60","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L135","VALIDATION_FEATURE_ID","dom.Counter.VALIDATION_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","63","5","63","100","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L137","SCHEMA_VALIDATION_FEATURE_ID","dom.Counter.SCHEMA_VALIDATION_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","66","5","66","117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L139","SCHEMA_FULL_CHECKING_FEATURE_ID","dom.Counter.SCHEMA_FULL_CHECKING_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","69","5","69","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L141","HONOUR_ALL_SCHEMA_LOCATIONS_ID","dom.Counter.HONOUR_ALL_SCHEMA_LOCATIONS_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","72","5","72","128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L143","VALIDATE_ANNOTATIONS_ID","dom.Counter.VALIDATE_ANNOTATIONS_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","75","5","75","115","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L145","DYNAMIC_VALIDATION_FEATURE_ID","dom.Counter.DYNAMIC_VALIDATION_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","78","5","78","119","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L147","XINCLUDE_FEATURE_ID","dom.Counter.XINCLUDE_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","81","5","81","99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L149","XINCLUDE_FIXUP_BASE_URIS_FEATURE_ID","dom.Counter.XINCLUDE_FIXUP_BASE_URIS_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","84","5","84","131","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L151","XINCLUDE_FIXUP_LANGUAGE_FEATURE_ID","dom.Counter.XINCLUDE_FIXUP_LANGUAGE_FEATURE_ID;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","87","5","87","129","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L153","DEFAULT_PARSER_NAME","dom.Counter.DEFAULT_PARSER_NAME;Ljava/lang/String;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","92","5","92","79","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L156","DEFAULT_REPETITION","dom.Counter.DEFAULT_REPETITION;I","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","95","5","95","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L161","DEFAULT_NAMESPACES","dom.Counter.DEFAULT_NAMESPACES;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","98","5","98","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L166","DEFAULT_VALIDATION","dom.Counter.DEFAULT_VALIDATION;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","101","5","101","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L168","DEFAULT_SCHEMA_VALIDATION","dom.Counter.DEFAULT_SCHEMA_VALIDATION;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","104","5","104","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L170","DEFAULT_SCHEMA_FULL_CHECKING","dom.Counter.DEFAULT_SCHEMA_FULL_CHECKING;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","107","5","107","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L172","DEFAULT_HONOUR_ALL_SCHEMA_LOCATIONS","dom.Counter.DEFAULT_HONOUR_ALL_SCHEMA_LOCATIONS;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","110","5","110","80","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L174","DEFAULT_VALIDATE_ANNOTATIONS","dom.Counter.DEFAULT_VALIDATE_ANNOTATIONS;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","113","5","113","73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L176","DEFAULT_DYNAMIC_VALIDATION","dom.Counter.DEFAULT_DYNAMIC_VALIDATION;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","116","5","116","71","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L178","DEFAULT_XINCLUDE","dom.Counter.DEFAULT_XINCLUDE;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","119","5","119","61","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L180","DEFAULT_XINCLUDE_FIXUP_BASE_URIS","dom.Counter.DEFAULT_XINCLUDE_FIXUP_BASE_URIS;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","122","5","122","76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L182","DEFAULT_XINCLUDE_FIXUP_LANGUAGE","dom.Counter.DEFAULT_XINCLUDE_FIXUP_LANGUAGE;Z","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","125","5","125","75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L184","fElements","dom.Counter.fElements;J","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","132","5","132","30","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L192","fAttributes","dom.Counter.fAttributes;J","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","135","5","135","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L194","fCharacters","dom.Counter.fCharacters;J","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","138","5","138","32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L196","fIgnorableWhitespace","dom.Counter.fIgnorableWhitespace;J","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","141","5","141","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L198","fDocumentInfo","dom.Counter.fDocumentInfo;Ldom/ParserWrapper$DocumentInfo;","L118","L103","C:\Xerces\xerces-2_10_0\samples\dom\Counter.java","144","5","144","56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L393","DEFAULT_NAMESPACES","dom.DOM3.DEFAULT_NAMESPACES;Z","L384","L103","C:\Xerces\xerces-2_10_0\samples\dom\DOM3.java","44","5","44","62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L395","DEFAULT_VALIDATION","dom.DOM3.DEFAULT_VALIDATION;Z","L384","L103","C:\Xerces\xerces-2_10_0\samples\dom\DOM3.java","47","5","47","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L397","DEFAULT_SCHEMA_VALIDATION","dom.DOM3.DEFAULT_SCHEMA_VALIDATION;Z","L384","L103","C:\Xerces\xerces-2_10_0\samples\dom\DOM3.java","50","5","50","70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L399","builder","dom.DOM3.builder;Lorg/w3c/dom/ls/LSParser;","L384","L103","C:\Xerces\xerces-2_10_0\samples\dom\DOM3.java","52","5","52","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L501","out","dom.DOMAddLines.out;Ljava/io/PrintWriter;","L496","L103","C:\Xerces\xerces-2_10_0\samples\dom\DOMAddLines.java","52","4","52","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L503","NotIncludeIgnorableWhiteSpaces","dom.DOMAddLines.NotIncludeIgnorableWhiteSpaces;Z","L496","L103","C:\Xerces\xerces-2_10_0\samples\dom\DOMAddLines.java","53","4","53","66","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
